Id,ActivityID,ActivityName,MemberName,Points,Timestamp 
4,60,BoD HC Raid 7,Lhyao-Al'Akir,10,28/03/19 23:44:32
4,60,BoD HC Raid 7,Hellkebab-Draenor,10,28/03/19 23:44:33
4,60,BoD HC Raid 7,Thyrfing-Twilight'sHammer,10,28/03/19 23:44:34
4,60,BoD HC Raid 7,Smokeys-Dentarg,10,28/03/19 23:44:35
4,60,BoD HC Raid 7,Viví-KulTiras,5,28/03/19 23:44:36
4,60,BoD HC Raid 7,Beargrylls-Alonsus,10,28/03/19 23:44:37
4,60,BoD HC Raid 7,Winsly-Bloodscalp,10,28/03/19 23:44:38
4,60,BoD HC Raid 7,Trollmakt-Al'Akir,10,28/03/19 23:44:39
4,60,BoD HC Raid 7,Elldorado-Eonar,10,28/03/19 23:44:40
4,60,BoD HC Raid 7,Vóa-TarrenMill,10,28/03/19 23:44:41
4,60,BoD HC Raid 7,Vajhishar-TarrenMill,10,28/03/19 23:44:42
4,60,BoD HC Raid 7,Thiirry-Draenor,10,28/03/19 23:44:43
4,60,BoD HC Raid 7,Donpietro-BurningLegion,10,28/03/19 23:44:44
4,60,BoD HC Raid 7,Unordinary-Kazzak,10,28/03/19 23:44:46
4,60,BoD HC Raid 7,Demonozi-TwistingNether,10,28/03/19 23:44:47
4,60,BoD HC Raid 7,Lhethrilthel-TwistingNether,10,28/03/19 23:44:48
4,60,BoD HC Raid 7,Jinxspiralka-Drak'thul,10,28/03/19 23:44:49
4,60,BoD HC Raid 7,Tigerfury-TwistingNether,10,28/03/19 23:44:50
4,60,BoD HC Raid 7,Sapaki-Doomhammer,10,28/03/19 23:44:51
4,60,BoD HC Raid 7,Krium-TarrenMill,5,28/03/19 23:44:52
4,60,BoD HC Raid 7,Ninjaspy-Draenor,10,28/03/19 23:44:53
4,60,BoD HC Raid 7,Laniria-Stormreaver,10,28/03/19 23:44:54
4,60,BoD HC Raid 7,Wahshie-TarrenMill,10,28/03/19 23:44:55
4,60,BoD HC Raid 7,Arimin-Executus,10,28/03/19 23:44:56
4,60,BoD HC Raid 7,Severinå-Kazzak,10,28/03/19 23:44:57
4,60,BoD HC Raid 7,Umaga-Draenor,10,28/03/19 23:44:58
4,60,BoD HC Raid 7,Maszwpierdul-BurningLegion,10,28/03/19 23:44:59
4,60,BoD HC Raid 7,Hampablo-Dentarg,5,28/03/19 23:44:60
4,60,BoD HC Raid 7,Ahld-Draenor,10,28/03/19 23:44:61
4,60,BoD HC Raid 7,Inglesinho-TarrenMill,10,28/03/19 23:44:62
4,60,BoD HC Raid 7,Majerai-KulTiras,5,28/03/19 23:44:63
