ID,ActivityName,MemberName,Points,Timestamp 
556231,BoD and CoS HC 3,Tolls-TarrenMill,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Bossefine-Ragnaros,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Munksture-Kazzak,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Notbogi-Kazzak,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Severinå-Kazzak,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Restofarian-Al'Akir,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Trollbat-Dentarg,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Ámber-Al'Akir,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Laeminus-Al'Akir,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Jerrysmith-KulTiras,2,11/5/2019 23:33
556231,BoD and CoS HC 3,Mecham-TarrenMill,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Crusádèr-DefiasBrotherhood,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Cydonie-TarrenMill,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Ziranu-KulTiras,2,11/5/2019 23:33
556231,BoD and CoS HC 3,Ghanteo-TwistingNether,2,11/5/2019 23:33
556231,BoD and CoS HC 3,Ikirdotcom-KulTiras,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Laniria-Stormreaver,2,11/5/2019 23:33
556231,BoD and CoS HC 3,Michael-Executus,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Nuri-KulTiras,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Stabnation-Draenor,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Reoma-Draenor,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Kungsture-Outland,3,11/5/2019 23:33
556231,BoD and CoS HC 3,Ninjaspy-Draenor,2,11/5/2019 23:33
556231,BoD and CoS HC 3,Impure-KulTiras,1,11/5/2019 23:33
556231,BoD and CoS HC 3,Imnodruid-KulTiras,1,11/5/2019 23:33
