ID,realm,name,race,level,class,zone,role,presence

1,Burning Legion,Abaddonekk,Tauren,120,Paladin,N/A,Member,Offline
2,Tarren  Mill,Adhàn,Zandalari Troll,120,Shaman,N/A,Member,Offline
3,Draenor,Agrethiel,Troll,120,Mage,N/A,Member,Offline
4,Draenor,Ahld,Zandalari Troll,120,Paladin,N/A,Member,Offline
5,Draenor,Alibabaw,Troll,120,Druid,N/A,Member,Offline
6,Kor'gall,Alixy,Blood Elf,120,Demon Hunter,N/A,Member,Offline
7,Bladefist,Amiphy,Blood Elf,120,Paladin,N/A,Member,Offline
8,Burning Legion,Andrewida,Troll,120,Druid,N/A,Member,Offline
9,Bloodfeather,Aniimuzz,Blood Elf,120,Mage,N/A,Member,Offline
10,Tarren  Mill,Annaberry,Blood Elf,120,Priest,N/A,Member,Offline
11,Twisting Nether,Antrhodus,Blood Elf,120,Mage,N/A,Member,Offline
12,Executus,Arimin,Blood Elf,120,Hunter,N/A,Member,Offline
13,Alonsus,Armycolze,Blood Elf,120,Paladin,N/A,Member,Offline
14,Neptulon,Arthedian,Orc,120,Warrior,N/A,Member,Offline
15,Tarren  Mill,Ashrelia,Nightborne,87,Priest,N/A,Member,Offline
16,Draenor,Asparukh,Orc,120,Death Knight,N/A,Member,Offline
17,Dentarg,Assterix,Orc,120,Mage,N/A,Member,Offline
18,Dentarg,Asteriix,Orc,120,Hunter,N/A,Member,Offline
19,Dentarg,Asterix,Pandaren,120,Rogue,N/A,Member,Offline
20,Dentarg,Asterixu,Blood Elf,120,Demon Hunter,N/A,Member,Offline
21,Dentarg,Asterixus,Troll,120,Shaman,N/A,Member,Offline
22,Tarren  Mill,Ayzebel,Blood Elf,120,Demon Hunter,N/A,Member,Offline
23,Draenor,Azibin,Troll,120,Mage,N/A,Member,Offline
24,Draenor,Azázel,Undead,120,Warlock,N/A,Member,Offline
25,Burning Legion,Bakkez,Undead,120,Rogue,N/A,Member,Offline
26,Defias Brotherhood,Balthazär,Undead,120,Rogue,N/A,Member,Offline
27,Turalyon,Bancoc,Orc,120,Warlock,N/A,Member,Online
28,Ravencrest,Baraqe,Blood Elf,120,Demon Hunter,N/A,Member,Offline
29,Tarren  Mill,Bcooll,Blood Elf,120,Warrior,N/A,Member,Offline
30,Doomhammer,Bealo,Orc,120,Hunter,N/A,Member,Offline
31,Alonsus,Beargrylls,Goblin,120,Hunter,N/A,Member,Offline
32,Draenor,Berf,Undead,120,Monk,N/A,Member,Offline
33,Draenor,Berám,Zandalari Troll,120,Druid,N/A,Member,Offline
34,Kazzak,Bibixd,Orc,120,Rogue,N/A,Member,Offline
35,Chamberof Aspects,Bigoug,Blood Elf,100,Death Knight,N/A,Member,Offline
36,Draenor,Blackcore,Undead,120,Priest,N/A,Member,Offline
37,Tarren  Mill,Blindfolded,Blood Elf,120,Demon Hunter,N/A,Member,Offline
38,Draenor,Blodjägare,Blood Elf,120,Demon Hunter,N/A,Member,Offline
39,Darkspear,Bloodeyes,Orc,120,Death Knight,N/A,Member,Offline
40,Drak'thul,Bloodywarr,Highmountain Tauren,120,Warrior,N/A,Member,Offline
41,Dragonmaw,Boohy,Tauren,120,Shaman,N/A,Member,Offline
42,Aszune,Borscheviks,Orc,120,Warrior,N/A,Member,Offline
43,Ragnaros,Bossefine,Blood Elf,120,Monk,N/A,Member,Offline
44,Kazzak,Bossexd,Blood Elf,120,Rogue,N/A,Member,Offline
45,Burning Legion,Bostorm,Troll,120,Hunter,N/A,Member,Offline
46,Bronze Dragonflight,Brandwag,Orc,120,Death Knight,N/A,Member,Offline
47,Tarren  Mill,Bravebart,Orc,120,Warrior,N/A,Member,Offline
48,Magtheridon,Brewtus,Highmountain Tauren,120,Warrior,N/A,Member,Offline
49,Doomhammer,Brinite,Blood Elf,120,Priest,N/A,Member,Offline
50,Drak'thul,Brmbalica,Blood Elf,120,Monk,N/A,Member,Offline
51,Draenor,Broxi,Zandalari Troll,110,Druid,N/A,Member,Offline
52,Tarren  Mill,Bspringsteen,Undead,5,Monk,N/A,Member,Offline
53,Burning Legion,Butterbean,Orc,120,Warrior,N/A,Member,Offline
54,Draenor,Bwomziko,Zandalari Troll,120,Druid,N/A,Member,Offline
55,Tarren  Mill,Centaurs,Undead,120,Warrior,N/A,Member,Offline
56,Draenor,Cerli,Blood Elf,120,Death Knight,Tol'viron Arena,Moderator,Online
57,Draenor,Cerlidh,Blood Elf,120,Demon Hunter,N/A,Member,Offline
58,Draenor,Choes,Undead,120,Priest,N/A,Member,Offline
59,Shattered Hand,Chungus,Mag'har Orc,120,Shaman,N/A,Member,Offline
60,Doomhammer,Chuun,Tauren,120,Druid,N/A,Member,Offline
61,Burning Legion,Cirreks,Orc,120,Death Knight,N/A,Member,Offline
62,Draenor,Clickzs,Troll,120,Shaman,N/A,Moderator,Offline
63,Draenor,Clickzz,Blood Elf,120,Demon Hunter,N/A,Moderator,Offline
64,Tarren  Mill,Conga,Troll,120,Hunter,N/A,Member,Offline
65,Tarren  Mill,Corethel,Zandalari Troll,120,Paladin,N/A,Member,Offline
66,Kul Tiras,Cptdeadpool,Orc,120,Warlock,N/A,Member,Offline
67,Silvermoon,Creepyjoker,Undead,4,Rogue,N/A,Member,Offline
68,Silvermoon,Creepzdh,Blood Elf,120,Demon Hunter,N/A,Moderator,Offline
69,Silvermoon,Creepzdrew,Troll,120,Druid,N/A,Moderator,Offline
70,Quel'Thalas,Crobar,Troll,120,Hunter,N/A,Member,Offline
71,Defias Brotherhood,Crusádèr,Tauren,120,Paladin,N/A,Member,Offline
72,Dragonmaw,Cupidon,Goblin,120,Hunter,N/A,Member,Offline
73,Draenor,Cörvüs,Nightborne,120,Mage,N/A,Member,Offline
74,Draenor,Daboodii,Orc,120,Warlock,N/A,Member,Offline
75,Xavius,Darnassil,Blood Elf,120,Paladin,N/A,Member,Offline
76,Tarren  Mill,Davar,Zandalari Troll,120,Warrior,N/A,Member,Offline
77,Quel'Thalas,Daying,Blood Elf,120,Mage,N/A,Member,Offline
78,Twisting Nether,Demonozi,Blood Elf,120,Demon Hunter,N/A,Member,Offline
79,Kazzak,Dinoquincy,Orc,120,Hunter,N/A,Member,Offline
80,Tarren  Mill,Discofeast,Undead,120,Priest,N/A,Member,Offline
81,Draenor,Disfigurked,Zandalari Troll,120,Druid,N/A,Member,Offline
82,Stormreaver,Disguised,Tauren,120,Warrior,N/A,Member,Offline
83,Burning Legion,Divind,Orc,120,Warrior,N/A,Member,Offline
84,Burning Blade,Diximillian,Orc,120,Shaman,N/A,Member,Offline
85,Dentarg,Djtwo,Zandalari Troll,120,Druid,N/A,Member,Offline
86,Tarren  Mill,Dkaine,Orc,120,Death Knight,N/A,Member,Offline
87,Draenor,Dkvy,Blood Elf,120,Death Knight,N/A,Member,Offline
88,Burning Legion,Donpietro,Tauren,120,Paladin,N/A,Member,Offline
89,Sporeggar,Drakari,Blood Elf,120,Paladin,N/A,Member,Online
90,Tarren  Mill,Drakô,Undead,120,Rogue,N/A,Member,Offline
91,Silvermoon,Drcooperphd,Pandaren,120,Shaman,N/A,Moderator,Offline
92,Draenor,Dreadblossom,Blood Elf,120,Paladin,N/A,Member,Offline
93,Tarren  Mill,Drgonzoo,Undead,120,Warlock,N/A,Member,Offline
94,Chamberof Aspects,Drhanzel,Blood Elf,120,Demon Hunter,N/A,Member,Offline
95,Hellfire,Drognar,Orc,120,Warrior,N/A,Member,Offline
96,Tarren  Mill,Droocow,Tauren,120,Druid,N/A,Member,Offline
97,Skullcrusher,Dualband,Blood Elf,120,Demon Hunter,N/A,Member,Offline
98,Draenor,Dxve,Blood Elf,120,Death Knight,N/A,Member,Offline
99,Tarren  Mill,Dyremester,Troll,120,Druid,N/A,Member,Offline
100,Tarren  Mill,Démona,Blood Elf,120,Death Knight,N/A,Leader,Offline
101,Draenor,Dóminatór,Orc,120,Warlock,N/A,Member,Online
102,Defias Brotherhood,Echoslam,Tauren,120,Shaman,N/A,Member,Offline
103,Frostwhisper,Edgarstabem,Orc,120,Rogue,N/A,Member,Offline
104,Draenor,Eggys,Zandalari Troll,120,Priest,N/A,Member,Offline
105,Khadgar,Eiloren,Blood Elf,120,Mage,N/A,Member,Offline
106,Draenor,Eldary,Blood Elf,120,Mage,N/A,Member,Offline
107,Lightbringer,Elderwarrior,Orc,120,Warrior,N/A,Member,Offline
108,Mazrigos,Elithreon,Blood Elf,120,Demon Hunter,N/A,Member,Offline
109,Draenor,Elju,Blood Elf,120,Monk,N/A,Member,Offline
110,Eonar,Elldorado,Blood Elf,120,Demon Hunter,N/A,Member,Offline
111,Dunemaul,Enoch,Undead,120,Rogue,N/A,Member,Offline
112,Tarren  Mill,Epíca,Blood Elf,110,Paladin,N/A,Member,Offline
113,Doomhammer,Erevoz,Undead,120,Mage,N/A,Member,Offline
114,Kul Tiras,Eris,Undead,120,Warlock,N/A,Member,Offline
115,Kor'gall,Evildiva,Blood Elf,120,Demon Hunter,N/A,Member,Offline
116,Tarren  Mill,Evilhand,Blood Elf,120,Demon Hunter,N/A,Member,Offline
117,Kazzak,Fanamvp,Blood Elf,120,Demon Hunter,N/A,Moderator,Offline
118,Kazzak,Fanatìk,Zandalari Troll,120,Warrior,N/A,Moderator,Offline
119,Tarren  Mill,Fistfox,Blood Elf,120,Mage,N/A,Member,Offline
120,Dentarg,Flamehoof,Tauren,120,Druid,N/A,Member,Offline
121,Frostwhisper,Flyghund,Orc,120,Shaman,N/A,Member,Offline
122,Bloodscalp,Flóki,Orc,120,Rogue,N/A,Member,Offline
123,Twisting Nether,Fløppy,Tauren,120,Druid,N/A,Moderator,Offline
124,Tarren  Mill,Fozzar,Blood Elf,120,Mage,N/A,Member,Offline
